#Energy (eV)	Mobility x N (1/m/V/s)
0.5649	0.4837E+25
0.6441	0.4501E+25
0.7356	0.4188E+25
0.8411	0.3898E+25
0.9633	0.3630E+25
1.105	0.3383E+25
1.272	0.3157E+25
1.468	0.2951E+25
1.702	0.2764E+25
1.984	0.2597E+25
2.331	0.2452E+25
2.767	0.2327E+25
3.325	0.2229E+25
4.006	0.2163E+25
4.733	0.2135E+25
5.383	0.2132E+25
5.909	0.2143E+25
6.327	0.2158E+25
6.676	0.2173E+25
6.988	0.2187E+25
7.288	0.2202E+25
7.588	0.2218E+25
7.899	0.2235E+25
8.228	0.2254E+25
8.578	0.2275E+25
8.959	0.2299E+25
9.374	0.2326E+25
9.832	0.2357E+25
10.34	0.2391E+25
10.92	0.2430E+25
11.58	0.2474E+25
12.34	0.2522E+25
13.24	0.2575E+25
14.30	0.2635E+25
15.56	0.2700E+25
17.10	0.2767E+25
18.96	0.2836E+25
21.24	0.2903E+25
24.02	0.2963E+25
27.44	0.3016E+25
31.63	0.3054E+25
36.78	0.3080E+25
43.09	0.3092E+25
50.74	0.3077E+25
60.20	0.3056E+25
71.88	0.3022E+25
86.35	0.2976E+25
104.6	0.2931E+25
127.7	0.2884E+25
157.6	0.2844E+25


