#C3    He    Ionization    24.58 eV                              Energy (eV)	Rate coefficient (m3/s)
0.5649	0.000
0.6441	0.000
0.7356	0.000
0.8411	0.000
0.9633	0.000
1.105	0.000
1.272	0.000
1.468	0.000
1.702	0.000
1.984	0.000
2.331	0.000
2.767	0.1337E-25
3.325	0.7138E-24
4.006	0.1480E-22
4.733	0.1506E-21
5.383	0.9241E-21
5.909	0.4056E-20
6.327	0.1435E-19
6.676	0.4402E-19
6.988	0.1218E-18
7.288	0.3096E-18
7.588	0.7307E-18
7.899	0.1611E-17
8.228	0.3335E-17
8.578	0.6525E-17
8.959	0.1210E-16
9.374	0.2143E-16
9.832	0.3641E-16
10.34	0.5971E-16
10.92	0.9493E-16
11.58	0.1469E-15
12.34	0.2220E-15
13.24	0.3287E-15
14.30	0.4783E-15
15.56	0.6844E-15
17.10	0.9640E-15
18.96	0.1336E-14
21.24	0.1822E-14
24.02	0.2441E-14
27.44	0.3212E-14
31.63	0.4143E-14
36.78	0.5246E-14
43.09	0.6518E-14
50.74	0.7926E-14
60.20	0.9482E-14
71.88	0.1115E-13
86.35	0.1288E-13
104.6	0.1468E-13
127.7	0.1647E-13
157.6	0.1823E-13


