#Electric field / N (Td)   Energy (eV) 	                                      
1.000             0.5649	
1.154             0.6441	
1.331             0.7356	
1.535             0.8411	
1.771             0.9633	
2.043             1.105	
2.357             1.272	
2.719             1.468	
3.137             1.702	
3.619             1.984	
4.175             2.331	
4.817             2.767	
5.557             3.325	
6.411             4.006	
7.396             4.733	
8.532             5.383	
9.843             5.909	
11.35             6.327	
13.10             6.676	
15.11             6.988	
17.43             7.288	
20.11             7.588	
23.20             7.899	
26.77             8.228	
30.88             8.578	
35.62             8.959	
41.10             9.374	
47.41             9.832	
54.69             10.34	
63.10             10.92	
72.79             11.58	
83.97             12.34	
96.88             13.24	
111.8             14.30	
128.9             15.56	
148.7             17.10	
171.6             18.96	
198.0             21.24	
228.4             24.02	
263.5             27.44	
303.9             31.63	
350.6             36.78	
404.5             43.09	
466.6             50.74	
538.3             60.20	
621.0             71.88	
716.4             86.35	
826.5             104.6	
953.5             127.7	
1100.             157.6	


